ID;NAME_RU;NAME_EN;YEAR;COUNTRIES;GENRES;RATE;FILM_DIRECTOR;ACTORS
cb3583da-bfdc-4d65-9552-5936b67c4147;Вечер с Беверли Лафф Линн;An Evening with Beverly Luff Linn;2018;Великобритания, США;comedy;6.0;Джим Хоскин;comedy
b0c4db57-022b-4384-9dba-425809423097;Неслабый пол;The Opposite Sex;2014;США;comedy;5.2;Дженнифер Финниган;comedy
326e8d1e-0668-4c46-b835-1135845658b2;Однажды… Тарантино;QT8: The First Eight;2019;США;documentary;7.8;Тара Вуд;documentary
714e6e75-be86-4e2c-94ef-45d9c1fa0519;День зверя;Den zverya;2009;Россия;drama, melodrama, military;4.9;Михаил Коновальчук;drama, melodrama, military
97d2ccaa-d391-44af-8c8a-3d78fbfa2187;Без компромиссов;Blitz;2011;Великобритания, Франция, США;thriller, action;6.7;Элиотт Лестер;thriller, action
89c6052d-27c6-43b1-abe7-45089429b926;Марадона;Maradona by Kusturica;2008;Испания, Франция;documentary;7.2;Эмир Кустурица;documentary
d0d238be-2b89-4a4f-8ef4-de8240fccb78;Вымогательство;Extortion;2017;США, Филиппины, Пуэрто Рико;drama, thriller, action, adventures;6.2;Филипп Волкен;drama, thriller, action, adventures
c88b853b-938a-4996-ad07-7752aafffc82;Голем;The Limehouse Golem;2016;Великобритания;detective, thriller;6.3;Хуан Карлос Медина;detective, thriller
d258b723-8dd5-426a-b7bd-81bf82e3be62;Эскадрилья  Лафайет;Flyboys;2006;Великобритания, США;adventures, melodrama, drama, military, action;7.4;Тони Билл;adventures, melodrama, drama, military, action
788bfe16-42dc-4cd9-b38d-386055a6cd74;Книга жизни;Book of Life, The;2014;США;family, for_child;5.0;Хорхе Р. Гутьеррес;family, for_child
5339dcfd-9fe2-4e4e-a093-95b27a59a4e9;Губка Боб – квадратные штаны;The SpongeBob SquarePants Movie;2004;США;family, for_child;6.7;Стивен Хилленбёрг;family, for_child
f7491e798d96eaa562fbf;Эрнест и Селестина: Приключения мышки и медведя;Ernest et Célestine;2012;Франция, Бельгия, Люксембург;cartoon, family, for_child;4.33;Стефани Обье;cartoon, family, for_child
815cf241-4a58-4eb0-86aa-868a4e4850ee;Быстрее пули;Faster;2010;США;thriller, action;;Джордж Тиллман мл.;thriller, action
41c09342-1986-47b7-8037-7bce17b788d1;Пожиратели;Intruders;2011;США, Великобритания, Испания;thriller, horror, fentezi;5.3;Хуан Карлос Фреснадильо;thriller, horror, fentezi
e67c423935a0aa451686a;Открытое море: Новые жертвы;The Reef;2010;Австралия;drama, thriller;5.0;Эндрю Трауки;drama, thriller
788273d5-bef2-43f2-beb8-36b0e9026441;Особо опасен;Wanted;2008;США, Германия;thriller, action, fantasy, crime;6.8;Тимур Бекмамбетов;thriller, action, fantasy, crime
df1ea22b-77a2-4ffb-9008-36046eacb41b;Квант милосердия;Quantum of Solace;2008;Великобритания, США;thriller, action;6.7;Марк Форстер;thriller, action
e08f1828-64c7-4da9-896e-69fc61bee188;Теснота;Tesnota;2017;Россия;drama;4.0;Кантемир Балагов;drama
185ff48d-0236-4d95-87c5-2b8ea2e5be44;Пуленепробиваемый;Bulletproof Monk;2003;США, Канада;melodrama, action, fentezi, comedy;;Пол Хантер;melodrama, action, fentezi, comedy
0430de91-54bc-4984-8296-dff250aa54b7;До Нового года осталось;Do Novogo goda ostalos';2019;Россия;melodrama, comedy;2.0;Алексей Бажанов;melodrama, comedy
dbe8d4c1-e2ce-43ee-b96b-06b806aaba79;В метре друг от друга;Five Feet Apart;2019;США;drama, melodrama;5.0;Джастин Бальдони;drama, melodrama
4c784413-ea7b-49fb-b7c8-5e54a67c77f4;Париж: Город мёртвых;As Above, So Below;2014;США;detective, thriller, horror, adventures;6.0;Джон Эрик Даудл;detective, thriller, horror, adventures
34f559c0-743b-4b7d-befe-23bd62bf8b73;Спасатели;Spasateli;1977;США;family, for_child;7.7;Джон Лоунсбери;family, for_child
d2affd9e-5b79-48b8-9460-3774c07dbb6a;Мулен Руж;Moulin Rouge;2001;Австралия, США;drama, melodrama;5.0;Баз Лурман;drama, melodrama
52a27b6e-f03c-47b2-a1a9-d3462b53519c;Крутая компания;In Good Company;2004;США;drama, melodrama, comedy;6.5;Пол Вайц;drama, melodrama, comedy
824fc370-50e1-4927-b81b-c293456ee0c7;Герой Самсам;Samsam;2019;Франция;family, for_child;0.0;Танги де Кермель;family, for_child
7e2062ef-2170-4ba3-9ba8-c350e8f665ad;Шрек;Shrek;2001;США;family, adventures, for_child, fentezi, comedy;8.0;Эндрю Адамсон;family, adventures, for_child, fentezi, comedy
ed25fe56-8ba2-464c-a6f2-8dd1a04764c7;Царь Скорпионов: Книга Душ;Scorpion King: Book Of Souls;2018;США;action, adventures, fentezi;4.8;Дон Майкл Пол;action, adventures, fentezi
24ac7075-6f8a-43ea-8406-7ab0690b995d;Дорога на Арлингтон;Arlington Road;1999;США;drama, thriller;7.5;Марк Пеллингтон;drama, thriller
35b8946b-c352-4129-b7fd-18b0e85cf37e;Пингвины Мадагаскара;Penguins of Madagascar;2014;США;fantasy, family, adventures, comedy, for_child;6.7;Эрик Дарнелл;fantasy, family, adventures, comedy, for_child
